#genus	code	division
Bocaparvovirus	G10	Vertebrates
Botrexvirus	G4	Plants
Bppunalikevirus	NA	NA
Brambyvirus	NA	NA
Cafeteriavirus	G4	Plants
Cardoreovirus	G1	Invertebrates
Cervidpoxvirus	G10	Vertebrates
Chipapillomavirus	G10	Vertebrates
Cilevirus	G4	Plants
Citrivirus	G4	Plants
Clavavirus	NA	NA
Cocadviroid	G4	Plants
Coleviroid	G4	Plants
Copiparvovirus	G10	Vertebrates
Cosavirus	G10	Vertebrates
Crocodylidpoxvirus	G10	Vertebrates
Cryspovirus	NA	NA
Cuevavirus	G10	Vertebrates
Cyprinivirus	G10	Vertebrates
Deltabaculovirus	NA	NA
Deltacoronavirus	G10	Vertebrates
Deltalipothrixvirus	NA	NA
Deltapartitivirus	G4	Plants
Deltatorquevirus	G10	Vertebrates
Dependoparvovirus	G10	Vertebrates
Dicipivirus	G10	Vertebrates
Dinodnavirus	NA	NA
Dinornavirus	NA	NA
Dinovernavirus	NA	NA
Dyodeltapapillomavirus	NA	NA
Dyoepsilonpapillomavirus	NA	NA
Dyoetapapillomavirus	G10	Vertebrates
Dyoiotapapillomavirus	G10	Vertebrates
Dyokappapapillomavirus	G10	Vertebrates
Dyolambdapapillomavirus	G10	Vertebrates
Dyomupapillomavirus	G10	Vertebrates
Dyonupapillomavirus	G10	Vertebrates
Dyoomikronpapillomavirus	G10	Vertebrates
Dyopipapillomavirus	G10	Vertebrates
Dyorhopapillomavirus	G10	Vertebrates
Dyosigmapapillomavirus	G10	Vertebrates
Dyothetapapillomavirus	G10	Vertebrates
Dyoxipapillomavirus	G10	Vertebrates
Dyozetapapillomavirus	G10	Vertebrates
Elaviroid	G4	Plants
Emaravirus	G4	Plants
Epsilon15likevirus	NA	NA
Epsilontorquevirus	NA	NA
Eragrovirus	G4	Plants
Erythroparvovirus	G10	Vertebrates
Etatorquevirus	G10	Vertebrates
Felixounalikevirus	NA	NA
Ferlavirus	G10	Vertebrates
Gallantivirus	NA	NA
Gallivirus	G10	Vertebrates
Gammabaculovirus	G1	Invertebrates
Gammacoronavirus	G10	Vertebrates
Gammapartitivirus	G4	Plants
Gammatorquevirus	G10	Vertebrates
Globulovirus	NA	NA
Glossinavirus	G1	Invertebrates
Hapunalikevirus	NA	NA
Hepandensovirus	G1	Invertebrates
Higrevirus	G4	Plants
Hostuviroid	G4	Plants
